step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
113,5.6501,-0.610,1323.393,0.000,-0.073,-45.853,0.000,45.853,0.073,391853.6,391.85,38787.20,13187.20,1.031,0.162,-0.002,0.107,-0.052,0.159,0.610,Hybrid
114,5.7001,-0.614,1321.101,0.000,-0.070,-45.828,0.000,45.828,0.070,391473.6,391.47,38780.78,13180.78,1.030,0.156,-0.003,0.125,0.052,0.152,0.614,Hybrid
115,5.7501,-0.617,1318.810,0.000,-0.068,-45.803,0.000,45.803,0.068,391099.7,391.10,38774.36,13174.36,1.029,0.149,0.003,0.142,0.048,0.144,0.617,Hybrid
116,5.8001,-0.620,1316.521,0.000,-0.065,-45.779,0.000,45.779,0.065,390731.6,390.73,38767.96,13167.96,1.028,0.143,0.001,0.157,-0.047,0.136,0.620,Hybrid
117,5.8501,-0.624,1314.232,0.000,-0.063,-45.755,0.000,45.755,0.063,390369.0,390.37,38761.55,13161.55,1.027,0.134,-0.005,0.172,-0.043,0.126,0.624,Hybrid
118,5.9001,-0.627,1311.945,0.000,-0.061,-45.732,0.000,45.732,0.061,390012.1,390.01,38755.16,13155.16,1.027,0.125,0.001,0.185,0.040,0.116,0.627,Hybrid
119,5.9501,-0.630,1309.659,0.000,-0.058,-45.709,0.000,45.709,0.058,389660.8,389.66,38748.77,13148.77,1.026,0.115,0.003,0.197,-0.038,0.106,0.630,Hybrid
120,6.0001,-0.633,1307.374,0.000,-0.057,-45.686,0.000,45.686,0.057,389315.4,389.32,38742.38,13142.38,1.025,0.105,-0.002,0.208,-0.034,0.096,0.633,Hybrid
121,6.0501,-0.635,1305.090,0.000,-0.055,-45.664,0.000,45.664,0.055,388975.1,388.98,38736.00,13136.00,1.024,0.095,-0.001,0.217,0.031,0.084,0.635,Hybrid
122,6.1001,-0.638,1302.807,0.000,-0.053,-45.642,0.000,45.642,0.053,388640.2,388.64,38729.63,13129.63,1.024,0.084,0.003,0.224,0.027,0.072,0.638,Hybrid
